Model,DPO2004B,,,
Firmware Version,1.56,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.60E-08,,,
Filter Frequency,7.00E+07,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.92E-05,-0.004,-0.004,0.002,-0.0076
-5.91E-05,0.004,0.004,-0.0004,0.0052
-5.91E-05,-0.004,-0.004,0.0004,-0.0044
-5.91E-05,-0.004,0.012,0.0036,0.0036
-5.91E-05,-0.004,-0.004,0.0036,-0.0036
-5.91E-05,-0.004,0.012,0.0012,0.0036
-5.91E-05,-0.004,-0.004,0.0012,-0.0052
-5.90E-05,-0.004,0.012,0.0012,0.0084
-5.90E-05,-0.004,-0.004,0.002,-0.0004
-5.90E-05,-0.004,0.02,0.0108,0.002
-5.90E-05,0.004,-0.004,0.0036,-0.0092
-5.90E-05,-0.004,0.012,0.0028,0.0108
-5.90E-05,-0.004,-0.012,0.0036,-0.0036
-5.89E-05,-0.004,0.012,0.0012,0.0092
-5.89E-05,-0.004,-0.012,-0.0036,-0.0044
-5.89E-05,-0.004,0.02,-0.0036,0.0044
-5.89E-05,0.004,-0.004,0.0004,-0.0076
-5.89E-05,0.004,0.012,0.0012,0.0132
-5.89E-05,0.004,-0.004,0.002,-0.0028
-5.88E-05,0.004,0.02,-0.0004,0.0076
-5.88E-05,0.004,-0.004,0.0004,-0.0004
-5.88E-05,0.004,0.012,0.002,0.0068
-5.88E-05,0.004,-0.004,0.0036,-0.0052
-5.88E-05,0.004,0.012,0.0036,0.0084
-5.88E-05,0.004,-0.004,0.0004,0.0004
-5.88E-05,0.004,0.012,0.006,0.0084
-5.87E-05,0.004,-0.004,0.0076,-0.002
-5.87E-05,0.004,0.012,0.0044,0.0108
-5.87E-05,-0.004,-0.004,0.002,-0.0012
-5.87E-05,-0.004,0.012,0.0012,0.0076
-5.87E-05,0.004,-0.004,0.0028,0.0004
-5.87E-05,0.004,0.012,0.0076,0.0036
-5.86E-05,0.004,-0.004,0.0044,-0.006
-5.86E-05,-0.004,0.012,0.0012,0.0084
-5.86E-05,0.004,-0.004,0.002,-0.0052
-5.86E-05,0.004,0.012,0.01,0.006
-5.86E-05,0.004,-0.004,-0.0004,-0.0052
-5.86E-05,-0.004,0.012,0.0004,0.0108
-5.85E-05,-0.004,-0.004,-0.0004,-0.0068
-5.85E-05,0.004,0.012,-0.0004,0.0068
-5.85E-05,-0.004,-0.004,0.0028,-0.0028
-5.85E-05,-0.004,0.012,-0.0012,0.002
-5.85E-05,-0.004,-0.004,-0.0076,-0.0084
-5.85E-05,0.004,0.004,-0.0036,0.0052
-5.84E-05,0.004,-0.004,-0.0012,-0.0076
-5.84E-05,0.004,0.004,-0.006,0.006
-5.84E-05,0.004,-0.004,-0.006,-0.006
-5.84E-05,0.004,0.012,0.0004,0.0004
-5.84E-05,0.004,-0.004,-0.0004,-0.0084
-5.84E-05,-0.004,0.012,-0.0012,0.0076
-5.84E-05,-0.004,-0.004,-0.0004,-0.0044
-5.83E-05,0.004,0.012,-0.0052,0.0036
-5.83E-05,-0.004,-0.004,0.0076,-0.0084
-5.83E-05,0.004,0.012,0.0044,0.0028
-5.83E-05,0.004,-0.004,-0.0036,-0.01
-5.83E-05,-0.004,0.012,0.0036,0.0076
-5.83E-05,-0.004,-0.012,0.01,-0.0068
-5.82E-05,0.004,0.012,0.0044,0.0036
-5.82E-05,-0.004,-0.004,0.0052,-0.0068
-5.82E-05,-0.004,0.004,0.0036,0.0108
-5.82E-05,0.004,-0.004,-0.0028,-0.0084
-5.82E-05,0.004,0.012,0.0036,0.006
-5.82E-05,0.004,-0.004,-0.002,-0.0148
-5.81E-05,0.004,0.012,-0.0156,0.0108
-5.81E-05,-0.004,-0.004,-0.0084,-0.0156
-5.81E-05,0.004,0.012,0.0012,0.018
-5.81E-05,0.004,-0.004,0.0036,-0.0172
-5.81E-05,0.004,0.012,0.0004,0.0164
-5.81E-05,0.004,-0.004,0.0036,-0.0036
-5.80E-05,0.012,0.012,0.002,0.01
-5.80E-05,0.004,-0.004,0.002,-0.0012
-5.80E-05,0.004,0.012,0.0004,0.0052
-5.80E-05,0.004,-0.004,-0.006,-0.0012
-5.80E-05,0.004,0.012,0.0012,0.0044
-5.80E-05,0.004,-0.004,0.0052,-0.006
-5.80E-05,0.004,0.012,0.0036,0.0084
-5.79E-05,-0.004,-0.004,0.0044,-0.0052
-5.79E-05,0.004,0.012,0.0044,0.01
-5.79E-05,0.004,-0.004,0.0076,-0.002
-5.79E-05,-0.004,0.012,0.0052,0.0044
-5.79E-05,-0.004,-0.004,0.0036,-0.0044
-5.79E-05,-0.004,0.012,0.002,0.0124
-5.78E-05,0.004,-0.004,0.0044,-0.0004
-5.78E-05,0.004,0.012,0.0092,0.0044
-5.78E-05,0.004,-0.004,0.0036,-0.0068
-5.78E-05,-0.004,0.012,0.0004,0.0092
-5.78E-05,0.004,-0.004,0.0012,-0.0052
-5.78E-05,0.004,0.012,0.0012,0.01
-5.77E-05,-0.004,-0.004,0.0028,-0.0004
-5.77E-05,0.012,0.012,-0.0028,0.0052
-5.77E-05,0.012,-0.004,-0.0004,-0.0036
-5.77E-05,0.004,0.012,0.0028,0.01
-5.77E-05,0.004,-0.004,0.0028,-0.002
-5.77E-05,0.004,0.012,-0.0028,0.0068
-5.76E-05,0.004,-0.012,-0.0028,-0.0028
-5.76E-05,0.004,0.012,0.0012,0.0028
-5.76E-05,0.012,-0.012,-0.002,-0.0076
-5.76E-05,0.004,0.012,0.0012,0.0124
-5.76E-05,0.012,-0.012,-0.0036,-0.002
-5.76E-05,0.004,0.02,0.0028,0.0124
-5.76E-05,0.004,-0.004,0.0052,-0.0084
-5.75E-05,-0.004,0.012,0.0036,0.0124
-5.75E-05,-0.004,-0.004,0.0012,-0.0028
-5.75E-05,-0.004,0.012,0.0036,0.0116
-5.75E-05,0.004,-0.004,-0.0004,-0.0012
-5.75E-05,0.004,0.012,0.0076,0.0036
-5.75E-05,-0.004,-0.004,0.0028,-0.0044
-5.74E-05,-0.004,0.012,-0.0012,0.0076
-5.74E-05,-0.004,-0.004,0.0004,-0.0068
-5.74E-05,0.004,0.012,0.0084,0.0068
-5.74E-05,-0.004,-0.004,0.0004,-0.0028
-5.74E-05,-0.004,0.004,-0.0012,0.0084
-5.74E-05,0.004,-0.004,0.0004,-0.0052
-5.73E-05,0.004,0.012,0.0004,0.0076
-5.73E-05,0.004,-0.004,0.0044,-0.002
-5.73E-05,0.004,0.012,0.0004,0.002
-5.73E-05,-0.004,-0.004,-0.0076,-0.0084
-5.73E-05,0.004,0.012,-0.0028,0.0044
-5.73E-05,0.004,-0.004,0.0004,-0.0076
-5.72E-05,-0.004,0.012,-0.002,0.0052
-5.72E-05,-0.004,-0.004,-0.006,-0.0028
-5.72E-05,-0.004,0.012,0.0012,0.002
-5.72E-05,0.004,-0.004,0.0012,-0.0068
-5.72E-05,-0.004,0.012,0.0012,0.006
-5.72E-05,-0.004,-0.004,0.0004,-0.0044
-5.72E-05,0.004,0.012,-0.0084,0.0052
-5.71E-05,-0.004,-0.004,0.0004,-0.0084
-5.71E-05,-0.004,0.004,0.0052,0.0044
-5.71E-05,-0.004,-0.004,-0.0004,-0.0092
-5.71E-05,-0.004,0.004,-0.0004,0.0052
-5.71E-05,-0.004,-0.012,0.0012,-0.002
-5.71E-05,-0.004,0.012,0.0044,0.0044
-5.70E-05,-0.004,-0.004,0.0044,-0.0044
-5.70E-05,0.004,0.012,0.0012,0.006
-5.70E-05,0.012,-0.004,-0.0004,-0.0036
-5.70E-05,0.004,0.012,-0.0004,0.0084
-5.70E-05,0.004,-0.012,0.0052,-0.0012
-5.70E-05,-0.004,0.02,-0.0012,0.0036
-5.69E-05,-0.004,-0.004,-0.0004,-0.006
-5.69E-05,0.004,0.012,0.0004,0.0084
-5.69E-05,0.004,-0.004,0.006,-0.0044
-5.69E-05,0.004,0.02,0.006,0.0044
-5.69E-05,0.004,-0.004,-0.002,-0.002
-5.69E-05,0.004,0.012,-0.0036,0.0108
-5.68E-05,0.004,-0.004,0.0004,-0.0052
-5.68E-05,0.004,0.012,-0.0092,0.0076
-5.68E-05,0.004,-0.004,-0.006,-0.0124
-5.68E-05,0.004,0.012,-0.0044,0.0124
-5.68E-05,0.004,-0.004,0.0068,-0.0092
-5.68E-05,0.004,0.012,0.0116,0.0124
-5.68E-05,0.004,-0.004,0.0092,-0.0148
-5.67E-05,0.004,0.012,0.0012,0.018
-5.67E-05,0.004,-0.004,-0.0012,-0.0068
-5.67E-05,-0.004,0.012,0.002,0.0116
-5.67E-05,-0.004,-0.004,-0.0004,-0.002
-5.67E-05,-0.004,0.012,0.002,0.0076
-5.67E-05,0.004,-0.004,0.002,-0.0004
-5.66E-05,-0.004,0.012,-0.0012,0.002
-5.66E-05,0.004,-0.004,0.006,-0.0076
-5.66E-05,-0.004,0.012,-0.0004,0.0052
-5.66E-05,0.004,-0.012,-0.0012,-0.0084
-5.66E-05,-0.004,0.012,-0.0028,0.006
-5.66E-05,-0.004,-0.004,0.0036,-0.0028
-5.65E-05,0.004,0.012,-0.0044,0.0012
-5.65E-05,0.004,-0.004,-0.0044,-0.0052
-5.65E-05,0.004,0.012,-0.0036,0.0036
-5.65E-05,-0.004,-0.004,-0.002,-0.006
-5.65E-05,-0.004,0.012,0.0044,0.0036
-5.65E-05,-0.004,-0.004,-0.002,-0.0036
-5.64E-05,0.004,0.004,-0.006,0.0044
-5.64E-05,0.012,-0.004,-0.0012,-0.0092
-5.64E-05,-0.004,0.012,0.0004,0.0036
-5.64E-05,0.004,-0.012,-0.002,-0.0052
-5.64E-05,0.004,0.012,-0.0076,0.0004
-5.64E-05,-0.004,-0.004,-0.0004,-0.0076
-5.64E-05,-0.004,0.004,0.0012,0.006
-5.63E-05,-0.004,-0.004,0.0004,-0.0068
-5.63E-05,-0.004,0.012,-0.0004,0.0028
-5.63E-05,0.004,-0.012,-0.0068,-0.0036
-5.63E-05,-0.004,0.012,0.0068,0.0012
-5.63E-05,-0.012,-0.004,0.0092,-0.0076
-5.63E-05,-0.012,0.012,-0.002,0.0068
-5.62E-05,-0.004,-0.012,-0.0012,-0.0092
-5.62E-05,-0.004,0.02,0.0084,0.0092
-5.62E-05,-0.004,-0.004,0.0148,-0.0052
-5.62E-05,0.004,0.012,0.002,0.0084
-5.62E-05,0.004,-0.004,0.002,-0.0108
-5.62E-05,0.004,0.012,0.0028,0.0148
-5.61E-05,0.004,-0.004,0.0044,-0.0036
-5.61E-05,0.004,0.02,0.006,0.0044
-5.61E-05,0.004,-0.004,-0.0028,-0.0052
-5.61E-05,0.012,0.012,0.002,0.0076
-5.61E-05,0.004,-0.004,0.0044,-0.0036
-5.61E-05,0.004,0.012,0.0052,0.0084
-5.60E-05,0.004,-0.004,0.0004,-0.0012
-5.60E-05,0.004,0.012,-0.0012,0.0052
-5.60E-05,-0.004,-0.004,0.0044,-0.0028
-5.60E-05,0.004,0.012,0.0052,0.01
-5.60E-05,0.004,-0.004,0.0052,-0.002
-5.60E-05,0.004,0.012,-0.002,0.0076
-5.60E-05,0.004,0.004,0.0012,-0.002
-5.59E-05,0.004,0.012,0.0028,0.01
-5.59E-05,0.004,0.004,0.0004,-0.0068
-5.59E-05,0.004,0.012,0.0012,0.0092
-5.59E-05,0.004,-0.004,-0.0004,0.0004
-5.59E-05,0.004,0.012,0.006,0.0052
-5.59E-05,-0.004,0.004,0.0068,-0.006
-5.58E-05,0.004,0.012,0.0012,0.01
-5.58E-05,0.004,-0.004,0.0012,-0.0044
-5.58E-05,0.004,0.012,0.002,0.0076
-5.58E-05,0.004,-0.004,0.006,-0.0004
-5.58E-05,0.004,0.012,0.0028,0.0036
-5.58E-05,0.004,-0.004,-0.0004,-0.006
-5.57E-05,0.004,0.012,0.002,0.0068
-5.57E-05,0.004,-0.004,0.002,-0.0028
-5.57E-05,0.004,0.012,0.0068,0.0044
-5.57E-05,0.004,-0.004,-0.0044,-0.0028
-5.57E-05,0.004,0.012,-0.0028,0.0084
-5.57E-05,-0.004,-0.004,0.0028,-0.006
-5.56E-05,-0.004,0.012,0.0028,0.0076
-5.56E-05,-0.004,-0.012,0.0044,-0.002
-5.56E-05,0.004,0.012,0.0028,0.0036
-5.56E-05,0.012,-0.004,-0.0052,-0.0092
-5.56E-05,0.004,0.012,-0.0036,0.0052
-5.56E-05,-0.004,-0.004,-0.0012,-0.006
-5.56E-05,0.004,0.012,-0.0068,0.0028
-5.55E-05,-0.004,-0.004,-0.0068,-0.0068
-5.55E-05,-0.004,0.012,-0.0044,0.0052
-5.55E-05,-0.004,-0.004,-0.0028,-0.01
-5.55E-05,-0.004,0.004,0.0044,0.0092
-5.55E-05,-0.004,-0.004,0.0052,-0.0068
-5.55E-05,-0.004,0.012,-0.0004,0.0044
-5.54E-05,-0.004,-0.004,0.0092,-0.0188
-5.54E-05,-0.004,0.004,0.0036,0.0084
-5.54E-05,0.004,-0.012,-0.0028,-0.0148
-5.54E-05,0.004,0.004,-0.0068,0.0092
-5.54E-05,0.004,-0.004,-0.0012,-0.0108
-5.54E-05,-0.004,0.012,-0.0028,0.0052
-5.53E-05,0.004,-0.004,-0.0028,-0.0076
-5.53E-05,-0.004,0.004,-0.0012,0.0036
-5.53E-05,0.004,-0.004,-0.0012,-0.0052
-5.53E-05,0.004,0.012,0.0004,-0.0012
-5.53E-05,-0.004,-0.004,0.0004,-0.0052
-5.53E-05,0.004,0.004,-0.0052,0.0004
-5.52E-05,0.004,-0.004,-0.0044,-0.0092
-5.52E-05,-0.004,0.012,-0.0012,0.002
-5.52E-05,-0.004,-0.004,-0.0012,-0.0076
-5.52E-05,-0.004,0.012,-0.0044,0.0012
-5.52E-05,0.004,-0.004,-0.0028,-0.0052
-5.52E-05,-0.004,0.012,-0.0012,0.0068
-5.52E-05,0.004,-0.004,-0.0028,-0.006
-5.51E-05,-0.004,0.012,-0.002,0.0004
-5.51E-05,0.004,-0.004,-0.0044,-0.0028
-5.51E-05,-0.004,0.012,-0.0012,0.0012
-5.51E-05,-0.004,-0.004,0.0012,-0.0076
-5.51E-05,0.004,0.012,0.002,0.0044
-5.51E-05,0.004,-0.004,0.0004,-0.0052
-5.50E-05,0.004,0.012,-0.0004,0.0036
-5.50E-05,0.012,-0.004,0.0036,-0.0028
-5.50E-05,0.012,0.012,0.002,0.002
-5.50E-05,0.004,-0.004,0.002,-0.0036
-5.50E-05,0.004,0.012,0.0028,0.0076
-5.50E-05,0.012,-0.004,0.0012,0.0004
-5.49E-05,0.004,0.012,0.0028,0.0028
-5.49E-05,0.004,-0.004,0.0052,-0.006
-5.49E-05,0.012,0.012,0.0036,0.0052
-5.49E-05,0.004,-0.012,0.0068,-0.0012
-5.49E-05,0.012,0.02,0.0036,0.01
-5.49E-05,0.004,-0.004,0.0044,-0.002
-5.48E-05,0.004,0.02,-0.0004,0.0068
-5.48E-05,-0.004,-0.004,0.0012,-0.0068
-5.48E-05,-0.004,0.012,0.0028,0.0124
-5.48E-05,-0.004,-0.004,0.0004,-0.002
-5.48E-05,0.004,0.02,0.0036,0.0052
-5.48E-05,0.004,-0.004,0.002,-0.0004
-5.48E-05,-0.004,0.012,0.0004,0.006
-5.47E-05,0.004,-0.004,0.0044,-0.0028
-5.47E-05,0.004,0.012,0.0028,0.0076
-5.47E-05,0.004,-0.004,-0.0012,0.0012
-5.47E-05,0.004,0.012,0.0004,0.0068
-5.47E-05,0.004,0.004,0.0036,-0.002
-5.47E-05,0.004,0.012,0.002,0.0092
-5.46E-05,0.004,0.004,0.0036,0.0004
-5.46E-05,0.004,0.012,0.0036,0.0052
-5.46E-05,0.004,-0.004,-0.0036,0.0004
-5.46E-05,0.004,0.012,0.0052,0.0044
-5.46E-05,0.004,-0.004,0.0044,-0.0052
-5.46E-05,0.004,0.012,0.0004,0.0068
-5.45E-05,0.004,-0.004,0.0004,-0.0036
-5.45E-05,-0.004,0.012,0.006,0.0068
-5.45E-05,-0.004,-0.004,0.0004,-0.002
-5.45E-05,0.004,0.012,0.002,0.006
-5.45E-05,0.004,-0.004,-0.0004,-0.0012
-5.45E-05,-0.004,0.012,0.0004,0.006
-5.44E-05,-0.004,-0.004,0.0052,-0.0004
-5.44E-05,0.004,0.012,0.0052,0.002
-5.44E-05,0.004,-0.004,-0.0036,-0.0068
-5.44E-05,0.004,0.012,-0.0012,0.0076
-5.44E-05,0.004,-0.004,-0.002,-0.0044
-5.44E-05,-0.004,0.012,-0.0004,0.006
-5.44E-05,-0.004,-0.004,-0.002,-0.002
-5.43E-05,-0.004,0.012,0.0004,0.0012
-5.43E-05,0.004,-0.004,0.0004,-0.0028
-5.43E-05,0.004,0.004,-0.0004,0.006
-5.43E-05,0.012,-0.004,-0.002,-0.0012
-5.43E-05,0.004,0.012,-0.0092,0.0012
-5.43E-05,-0.004,-0.012,0.002,-0.0092
-5.42E-05,-0.004,0.012,0.0036,0.0052
-5.42E-05,0.004,-0.012,0.0004,-0.0092
-5.42E-05,0.004,0.012,0.0036,0.0076
-5.42E-05,0.004,-0.004,0.002,-0.006
-5.42E-05,-0.004,0.012,0.0028,0.0044
-5.42E-05,0.004,-0.004,0.0076,-0.0052
-5.41E-05,-0.004,0.012,0.006,0.0092
-5.41E-05,-0.004,-0.004,0.0036,-0.0084
-5.41E-05,0.004,0.012,0.0044,0.0076
-5.41E-05,0.004,-0.004,0.0068,-0.0148
-5.41E-05,0.004,0.004,-0.0052,0.0124
-5.41E-05,0.004,-0.004,-0.0116,-0.0116
-5.40E-05,-0.004,0.012,-0.0044,0.0156
-5.40E-05,-0.004,-0.004,0.0028,-0.0156
-5.40E-05,0.004,0.012,0.0092,0.014
-5.40E-05,-0.004,-0.004,0.002,-0.0052
-5.40E-05,-0.004,0.012,0.0012,0.01
-5.40E-05,0.004,-0.004,0.0036,-0.0028
-5.40E-05,0.004,0.012,0.0036,0.0068
-5.39E-05,0.004,-0.004,0.002,-0.0012
-5.39E-05,0.004,0.012,0.0004,0.0044
-5.39E-05,-0.004,-0.004,0.0028,-0.006
-5.39E-05,0.004,0.012,0.0044,0.0092
-5.39E-05,0.004,-0.004,0.0052,-0.0012
-5.39E-05,0.004,0.012,0.0004,0.0084
-5.38E-05,0.004,-0.004,0.002,0.0004
-5.38E-05,0.012,0.012,0.0092,0.0052
-5.38E-05,0.004,-0.004,0.006,-0.0028
-5.38E-05,0.004,0.012,0.0028,0.0124
-5.38E-05,0.004,-0.004,0.002,0.0004
-5.38E-05,0.004,0.012,-0.002,0.0092
-5.37E-05,0.012,-0.004,0.0084,-0.0068
-5.37E-05,0.012,0.012,0.006,0.0092
-5.37E-05,0.004,-0.004,0.0044,-0.0012
-5.37E-05,0.004,0.012,0.0044,0.0108
-5.37E-05,0.004,-0.004,0.0124,0.0012
-5.37E-05,-0.004,0.012,0.0036,0.0068
-5.36E-05,0.004,-0.004,0.002,-0.0044
-5.36E-05,-0.004,0.012,0.0036,0.0124
-5.36E-05,-0.004,-0.004,0.0044,-0.002
-5.36E-05,-0.004,0.02,0.0068,0.006
-5.36E-05,-0.004,-0.004,0.0084,-0.0004
-5.36E-05,-0.012,0.012,-0.0036,0.0068
-5.36E-05,-0.004,-0.012,-0.002,-0.01
-5.35E-05,-0.004,0.012,0.0012,0.0124
-5.35E-05,-0.004,-0.012,-0.002,-0.0044
-5.35E-05,-0.004,0.012,-0.01,0.0116
-5.35E-05,0.004,-0.004,-0.002,-0.01
-5.35E-05,0.004,0.012,0.0012,0.0116
-5.35E-05,0.012,-0.012,0.0004,-0.0084
-5.34E-05,0.004,0.02,0.0004,0.0108
-5.34E-05,0.004,-0.004,-0.0084,-0.002
-5.34E-05,0.004,0.012,0.0028,0.002
-5.34E-05,0.004,-0.004,0.0044,-0.0084
-5.34E-05,0.004,0.012,0.002,0.0052
-5.34E-05,-0.004,-0.004,0.0004,-0.0076
-5.33E-05,0.004,0.004,0.0036,0.0044
-5.33E-05,0.004,-0.004,0.0036,-0.0036
-5.33E-05,-0.004,0.012,0.0012,0.0036
-5.33E-05,0.004,-0.004,-0.0004,-0.0068
-5.33E-05,-0.004,0.02,0.0012,0.0076
-5.33E-05,-0.004,-0.004,0.002,-0.0036
-5.32E-05,0.004,0.012,0.0092,0.002
-5.32E-05,0.004,-0.004,-0.0004,-0.01
-5.32E-05,0.004,0.012,-0.002,0.0092
-5.32E-05,-0.004,-0.004,0.002,-0.0052
-5.32E-05,0.004,0.012,0.0012,0.0068
-5.32E-05,0.004,-0.004,0.002,-0.002
-5.32E-05,-0.004,0.012,-0.0012,0.0036
-5.31E-05,0.004,-0.004,0.002,-0.0044
-5.31E-05,0.012,0.012,0.0044,0.01
-5.31E-05,0.004,-0.004,0.0036,-0.0012
-5.31E-05,0.004,0.012,-0.0012,0.0068
-5.31E-05,0.004,-0.004,-0.0004,-0.0012
-5.31E-05,0.004,0.012,0.0044,0.0084
-5.30E-05,0.004,-0.004,0.0036,-0.0068
-5.30E-05,0.004,0.012,0.0036,0.01
-5.30E-05,0.012,0.004,0.0004,0.0004
-5.30E-05,0.004,0.012,0.006,0.0084
-5.30E-05,0.012,-0.004,0.0068,-0.002
-5.30E-05,-0.004,0.012,0.0044,0.0116
-5.29E-05,-0.012,-0.004,0.0044,-0.0004
-5.29E-05,-0.004,0.012,0.0052,0.0076
-5.29E-05,0.004,-0.012,0.0068,0.0012
-5.29E-05,0.004,0.02,0.0076,0.0052
-5.29E-05,0.004,-0.004,0.0012,-0.0052
-5.29E-05,0.004,0.012,-0.0012,0.01
-5.28E-05,-0.004,-0.004,0.0076,-0.0028
-5.28E-05,-0.004,0.012,0.0116,0.0076
-5.28E-05,-0.004,-0.004,0.0028,-0.002
-5.28E-05,-0.004,0.012,-0.0004,0.014
-5.28E-05,0.004,-0.004,0.0036,-0.0044
-5.28E-05,0.004,0.02,-0.0092,0.0084
-5.28E-05,0.004,-0.004,-0.0028,-0.0092
-5.27E-05,0.004,0.012,-0.0092,0.01
-5.27E-05,-0.004,-0.004,-0.0052,-0.0124
-5.27E-05,0.004,0.012,0.0052,0.0124
-5.27E-05,0.004,-0.004,0.0076,-0.0116
-5.27E-05,0.004,0.012,0.0052,0.0164
-5.27E-05,-0.004,-0.004,-0.0004,-0.0044
-5.26E-05,0.004,0.012,0.0028,0.0108
-5.26E-05,0.004,-0.004,0.0012,-0.0004
-5.26E-05,0.004,0.012,-0.002,0.0076
-5.26E-05,0.004,-0.004,0.0012,-0.0028
-5.26E-05,0.004,0.012,-0.0044,0.0044
-5.26E-05,0.004,-0.004,0.006,-0.0068
-5.25E-05,0.004,0.004,0.0044,0.0068
-5.25E-05,-0.004,-0.004,0.0012,-0.0036
-5.25E-05,0.004,0.012,0.0028,0.0092
-5.25E-05,0.004,-0.004,0.0084,-0.0004
-5.25E-05,0.004,0.004,0.0052,0.0036
-5.25E-05,-0.004,-0.004,0.0012,-0.0044
-5.24E-05,-0.004,0.012,0.0012,0.0092
-5.24E-05,-0.004,-0.004,0.0004,-0.0028
-5.24E-05,-0.004,0.012,0.0044,0.0052
-5.24E-05,-0.004,-0.004,0.006,-0.0004
-5.24E-05,-0.004,0.012,-0.0028,0.0044
-5.24E-05,0.004,-0.004,0.0004,-0.0076
-5.24E-05,0.004,0.004,0.002,0.0076
-5.23E-05,0.004,-0.004,0.0028,-0.0044
-5.23E-05,0.004,0.012,-0.0028,0.0044
-5.23E-05,0.004,-0.004,-0.0036,-0.0028
-5.23E-05,0.004,0.012,0.0004,0.01
-5.23E-05,0.004,-0.004,-0.0012,-0.006
-5.23E-05,0.012,0.012,-0.0004,0.0052
-5.22E-05,0.004,-0.004,-0.0084,-0.0012
-5.22E-05,0.004,0.012,0.0012,0.0028
-5.22E-05,0.012,-0.012,0.0076,-0.0092
-5.22E-05,0.012,0.012,-0.0028,0.0108
-5.22E-05,0.004,-0.012,-0.0012,-0.0052
-5.22E-05,0.004,0.012,-0.0028,0.0092
-5.21E-05,0.004,-0.004,0.0076,-0.0044
-5.21E-05,0.004,0.012,0.0052,0.0028
-5.21E-05,-0.004,-0.004,0.0028,-0.01
-5.21E-05,-0.004,0.02,0.0036,0.0124
-5.21E-05,-0.004,-0.012,0.0044,-0.0028
-5.21E-05,0.004,0.012,0.006,0.0044
-5.20E-05,-0.004,-0.004,0.0028,-0.006
-5.20E-05,-0.004,0.012,0.0012,0.006
-5.20E-05,0.004,-0.004,0.002,-0.0028
-5.20E-05,0.004,0.012,0.0036,0.0068
-5.20E-05,0.004,-0.004,0.0108,0.0004
-5.20E-05,-0.004,0.012,0.0012,0.0044
-5.20E-05,0.012,-0.004,0.0004,-0.0036
-5.19E-05,0.004,0.012,0.0028,0.0108
-5.19E-05,0.004,-0.004,0.0028,-0.002
-5.19E-05,0.004,0.02,0.0036,0.0052
-5.19E-05,0.004,-0.004,0.0028,0.0012
-5.19E-05,0.004,0.012,0.002,0.0068
-5.19E-05,0.004,-0.004,0.0036,-0.0044
-5.18E-05,0.004,0.012,0.0044,0.0068
-5.18E-05,0.004,-0.004,-0.0012,0.002
-5.18E-05,0.004,0.012,-0.0012,0.0052
-5.18E-05,0.004,-0.004,0.0068,-0.0036
-5.18E-05,-0.004,0.012,0.0052,0.0124
-5.18E-05,0.004,-0.004,0.0044,-0.0004
-5.17E-05,0.004,0.012,0.0052,0.0084
-5.17E-05,0.004,0.004,-0.0012,0.002
-5.17E-05,0.004,0.012,0.006,0.0052
-5.17E-05,0.004,-0.004,0.0036,-0.0036
-5.17E-05,0.004,0.012,0.002,0.0068
-5.17E-05,-0.004,-0.004,0.0028,-0.0012
-5.16E-05,-0.004,0.012,0.01,0.006
-5.16E-05,-0.004,-0.004,0.0052,-0.002
-5.16E-05,0.004,0.012,-0.0012,0.01
-5.16E-05,0.012,-0.004,-0.002,-0.0044
-5.16E-05,0.012,0.012,-0.0012,0.01
-5.16E-05,-0.004,-0.012,0.0028,-0.002
-5.16E-05,-0.004,0.012,0.0036,0.0036
-5.15E-05,-0.004,-0.004,-0.0028,-0.0028
-5.15E-05,0.004,0.012,-0.0012,0.0036
-5.15E-05,-0.004,-0.004,-0.0012,-0.0036
-5.15E-05,-0.004,0.012,-0.0004,0.0052
-5.15E-05,0.004,-0.004,-0.0044,-0.0036
-5.15E-05,0.012,0.004,-0.0068,0.006
-5.14E-05,-0.004,-0.004,-0.0052,-0.0076
-5.14E-05,-0.004,0.012,0.0004,0.01
-5.14E-05,0.004,-0.004,-0.0068,-0.0068
-5.14E-05,-0.004,0.012,-0.006,0.0044
-5.14E-05,0.004,-0.004,0.0044,-0.018
-5.14E-05,-0.004,0.004,0.0108,0.0124
-5.13E-05,-0.004,-0.004,0.0084,-0.0156
-5.13E-05,-0.004,0.012,0.0012,0.0148
-5.13E-05,-0.004,-0.004,-0.002,-0.0124
-5.13E-05,-0.004,0.012,-0.0012,0.0116
-5.13E-05,-0.004,-0.004,-0.0012,-0.006
-5.13E-05,-0.004,0.004,-0.002,0.0036
-5.12E-05,-0.004,-0.004,0.0004,-0.0028
-5.12E-05,-0.004,0.012,0.002,0.002
-5.12E-05,0.004,-0.004,0.0052,-0.002
-5.12E-05,-0.004,0.012,0.0028,0.002
-5.12E-05,0.004,-0.004,0.0012,-0.0052
-5.12E-05,0.004,0.012,-0.0012,0.0068
-5.12E-05,0.004,-0.004,0.002,-0.006
-5.11E-05,0.004,0.012,0.0036,0.0044
-5.11E-05,0.004,-0.004,-0.0004,-0.002
-5.11E-05,0.004,0.012,0.0028,0.0084
