Model,DPO2004B,,,
Firmware Version,1.56,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.60E-08,,,
Filter Frequency,7.00E+07,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.98E-04,-0.004,-0.004,-0.0052,-0.0076
-1.98E-04,0.004,0.012,0.0044,0.006
-1.98E-04,-0.004,-0.004,0.0076,-0.006
-1.98E-04,-0.004,0.012,0.0052,0.0044
-1.98E-04,0.004,-0.004,0.0036,-0.006
-1.98E-04,0.004,0.012,0.0028,0.0076
-1.98E-04,-0.004,-0.004,-0.0044,-0.0076
-1.98E-04,-0.004,0.012,0.0012,0.0052
-1.98E-04,0.004,-0.004,-0.002,-0.0148
-1.98E-04,0.012,0.012,-0.01,0.0124
-1.98E-04,0.012,-0.004,-0.0044,-0.01
-1.98E-04,0.012,0.012,0.0036,0.0156
-1.98E-04,0.004,-0.004,0.0044,-0.0108
-1.98E-04,0.012,0.012,0.0036,0.0124
-1.98E-04,-0.004,-0.004,0.0004,-0.002
-1.98E-04,-0.004,0.012,0.0044,0.0092
-1.98E-04,0.004,-0.004,0.0044,-0.002
-1.98E-04,0.004,0.02,0.0044,0.0052
-1.98E-04,0.004,-0.004,-0.002,-0.0004
-1.98E-04,0.004,0.012,0.0004,0.006
-1.98E-04,0.004,-0.004,0.0036,-0.006
-1.98E-04,-0.004,0.012,0.0012,0.0092
-1.98E-04,0.004,-0.004,0.0028,-0.002
-1.98E-04,0.004,0.012,0.0012,0.0076
-1.97E-04,-0.004,0.004,0.006,-0.0004
-1.97E-04,0.004,0.012,0.006,0.0044
-1.97E-04,0.004,-0.004,0.0036,-0.0036
-1.97E-04,0.004,0.02,0.0012,0.0084
-1.97E-04,0.004,-0.004,0.0028,0.0004
-1.97E-04,-0.004,0.012,0.0052,0.0044
-1.97E-04,0.004,-0.004,0.0052,-0.0068
-1.97E-04,0.004,0.012,0.0004,0.006
-1.97E-04,0.004,-0.004,0.0012,-0.0036
-1.97E-04,0.004,0.012,0.0012,0.0068
-1.97E-04,0.004,-0.004,0.0052,-0.0012
-1.97E-04,0.004,0.012,-0.0044,0.0028
-1.97E-04,0.004,-0.004,-0.0004,-0.0044
-1.97E-04,0.004,0.012,0.0028,0.0076
-1.97E-04,0.004,-0.004,0.0004,-0.0052
-1.97E-04,0.004,0.012,-0.002,0.006
-1.97E-04,0.004,-0.004,0.0004,-0.002
-1.97E-04,-0.004,0.004,-0.0036,0.0028
-1.97E-04,0.004,-0.004,-0.0028,-0.0084
-1.97E-04,-0.004,0.004,-0.0052,0.006
-1.97E-04,0.004,-0.004,-0.0036,-0.0068
-1.97E-04,-0.004,0.012,-0.0036,0.0068
-1.97E-04,0.004,-0.004,0.0036,-0.0108
-1.97E-04,-0.004,0.012,0.0004,0.0084
-1.97E-04,0.004,-0.004,-0.0028,-0.0084
-1.97E-04,0.004,0.004,0.0004,0.0092
-1.97E-04,-0.004,-0.004,-0.0044,-0.0028
-1.97E-04,0.004,0.004,0.0028,0.0012
-1.97E-04,-0.004,-0.004,-0.0004,-0.0084
-1.97E-04,-0.004,0.012,-0.0004,0.0052
-1.97E-04,0.012,-0.004,-0.0004,-0.0044
-1.97E-04,0.012,0.012,0.0044,0.0036
-1.97E-04,0.004,-0.012,-0.0004,-0.0036
-1.97E-04,0.004,0.012,-0.002,0.0044
-1.97E-04,0.004,-0.012,-0.0004,-0.006
-1.97E-04,0.004,0.012,-0.002,0.0044
-1.97E-04,0.012,-0.004,0.0028,-0.0036
-1.97E-04,0.012,0.012,0.0012,0.0028
-1.97E-04,0.012,-0.012,-0.0028,-0.0052
-1.97E-04,0.012,0.012,0.002,0.0044
-1.97E-04,0.012,-0.012,-0.0012,-0.0052
-1.97E-04,0.004,0.02,-0.0012,0.0052
-1.97E-04,-0.012,-0.004,-0.0044,-0.0028
-1.97E-04,-0.004,0.012,0.0004,0.0036
-1.97E-04,-0.004,-0.012,0.0012,-0.0052
-1.97E-04,0.004,0.02,0.0012,0.0092
-1.97E-04,0.004,-0.004,0.0012,-0.0012
-1.97E-04,-0.004,0.012,-0.0044,0.0052
-1.97E-04,0.004,-0.004,0.0012,-0.0044
-1.97E-04,0.004,0.012,0.0028,0.0036
-1.97E-04,0.004,-0.004,0.0028,-0.0044
-1.97E-04,0.004,0.012,0.0036,0.006
-1.97E-04,0.004,-0.004,0.0028,-0.0004
-1.97E-04,0.004,0.012,0.0044,0.0036
-1.97E-04,0.012,-0.004,0.0044,-0.002
-1.97E-04,0.004,0.012,0.0036,0.0084
-1.97E-04,0.004,0.004,0.002,-0.0028
-1.97E-04,0.004,0.012,0.002,0.006
-1.97E-04,0.004,-0.004,0.006,-0.0004
